"business" "fullname" "sampwsw" "scorewsw" "sampwosw" "scorewosw" "totalsamples" "totalreviewscore" "pvalues" "qvalues" "city" "state" "lat" "long"
"1" "--BlvDO_RG2yElKu9XA1_g" "Asian Island" 19 3.46772796139421 18 3.11590573474447 37 3.29657120248352 0.379511218967646 0.734099593788488 "Scottsdale" "AZ" 33.621463 -111.8983054
"2" "-1bOb2izeJBZjHC7NWxiPA" "First Watch" 37 2.61730184557468 13 2.07644987900195 50 2.47668033426577 0.093130302208405 0.565945318461647 "Phoenix" "AZ" 33.479996 -112.077144
"3" "-3WVw1TNQbPBzaKCaQQ1AQ" "China Chili" 76 3.05067895092281 67 2.70326111112455 143 2.8879027602481 0.0474458906620647 0.515611301546726 "Phoenix" "AZ" 33.48585 -112.0691813
"4" "-3xbryp44xhpN4BohxXDdQ" "The Keg Steakhouse + Bar" 44 2.76896255458152 18 2.89928715627561 62 2.8067987292669 0.695402799248322 0.827214514622039 "Phoenix" "AZ" 33.678615 -111.9746066
"5" "-4A5xmN21zi_TXnUESauUQ" "D'lish" 126 3.32719034283329 124 3.48447118040022 250 3.40520163826648 0.189113255342577 0.627308090052506 "Scottsdale" "AZ" 33.477178 -111.925799
"6" "-5rFC4EVrT-v8g1PSEf6Xg" "Eest Asian Bistro" 18 3.14295463939859 15 3.091340638724 33 3.11949373000105 0.90005156377762 0.864543834214415 "Avondale" "AZ" 33.4823893 -112.3408511
"7" "-6Roo-EHgSdUa4rP3tWyRw" "Mimis Cafe" 24 2.772382938931 17 2.30148392900226 41 2.57713212993616 0.210398187358021 0.640019956435963 "Chandler" "AZ" 33.306411 -111.89307
"8" "-9pVS__IliMA2aNEYzrQrg" "American Junkie" 57 1.96851700083056 50 2.29451313599119 107 2.12085164342899 0.202223194024889 0.638302288116914 "Scottsdale" "AZ" 33.500169 -111.919817
"9" "-AAig9FG0s8gYE4f8GfowQ" "Pane Bianco" 98 3.35738393822669 178 3.48022091053337 276 3.43660488413462 0.257423249108015 0.676608568526088 "Phoenix" "AZ" 33.5006213 -112.0743113
"10" "-bd26a1QEEpqUZjBmtBUiQ" "Café Lalibela" 95 3.17478424807411 81 3.30112710008777 176 3.23293067428494 0.316862818725775 0.707425740522996 "Tempe" "AZ" 33.421336071135 -111.95161488531
"11" "-EctXOb3B7T177jGYUhjVA" "Boulders On Broadway" 75 3.10498656862347 62 3.14200282760375 137 3.12173845224958 0.823944714304287 0.861005201614652 "Tempe" "AZ" 33.407561 -111.9475246
"12" "-fsCfTYEnJ4s6yStgBnQig" "Farrelli's Cinema Supper Club" 30 3.04806168147001 16 2.9010511163766 46 2.9969275718723 0.656855372354717 0.82128973354243 "Scottsdale" "AZ" 33.6151575 -111.9264331
"13" "-ftQeUsqwDkExRg6IYrubQ" "Chicago Gyros" 45 3.62613796489345 60 3.38322112753844 105 3.48732834354773 0.0813193605253903 0.565945318461647 "Phoenix" "AZ" 33.6543532140261 -112.083579911637
"14" "-gefwOTDqW9HWGDvWBPSMQ" "Seamus McCaffrey's" 69 2.60417987932483 58 2.58295904028727 127 2.59448847252028 0.911061033192611 0.864543834214415 "Phoenix" "AZ" 33.4504575 -112.0743441
"15" "-h-q6zTIdPlkz9BDP11sBg" "Seasons 52" 106 3.10767757911842 35 3.2504715398603 141 3.14312288852243 0.446639421313206 0.755180046693945 "Phoenix" "AZ" 33.5102336367035 -112.027493778574
"16" "-hQ8iZygzi0iiTFUkHgiEA" "Back East Bagels" 16 2.7048953849426 29 2.67210718375298 45 2.68376521084262 0.932939231768666 0.864543834214415 "Tempe" "AZ" 33.3929982 -111.9127636
"17" "-JL0CWSLkkzFHZXlctnf8A" "Sweet Tomatoes" 14 2.6758527359698 37 2.39567635002043 51 2.47258751479085 0.435068448182199 0.748381055462837 "Tempe" "AZ" 33.393496 -111.914905
"18" "-lOSaCuBRAvX5JBifx-EMw" "Mi Amigo's Mexican Grill" 35 1.95933672795939 18 1.93626454553178 53 1.95150089241794 0.948708174570079 0.867907953090979 "Phoenix" "AZ" 33.4527955 -112.0693177
"19" "-mz0Zr0Dw6ZASg7_ah1R8A" "Sing High Chop Suey House" 24 2.17984721932092 21 2.22572472198666 45 2.20125672056493 0.918318328762358 0.864543834214415 "Phoenix" "AZ" 33.4460879 -112.0741278
"20" "-O7H5LhBkE13VQZB0QZI0Q" "Fat Tuesday" 16 1.97151899195469 34 2.10266124274054 50 2.06069572248907 0.731968962166349 0.840716671657719 "Tempe" "AZ" 33.4240085 -111.9401874
"21" "-Ogv7rpcgUHkFaSy3vD8Sw" "Hong Kong Gourmet Buffet" 29 3.09998328971298 32 2.94419140384213 61 3.01825639876434 0.573960096521235 0.795172654348368 "Phoenix" "AZ" 33.303967 -111.97839
